ufs_serial,run_wf_xy,prob,health
S00258,0000022_7_29_26,0.5615507934921473,0.004889013491513
S00259,0000022_6_51_28,0.49343823065589104,0.0
S00260,0000022_7_18_22,0.5535059028721865,0.0
S00261,0000022_6_22_20,0.47554586771556706,0.0
S00262,0000022_7_37_31,0.456594373923482,0.0
S00264,0000022_6_30_20,0.48493130817130803,0.0
S00265,0000022_5_40_28,0.5046836137042945,0.0021986286219862
S00267,0000022_3_51_13,0.5279174343868843,0.0022214176846302
S00268,0000022_7_32_31,0.49148759042067713,0.0
S00269,0000022_7_34_16,0.5219747460288795,0.0
S00270,0000022_7_23_24,0.5529216790248148,0.0021931566452205
S00271,0000022_1_58_22,0.4525423191306639,0.0
S00273,0000022_5_27_13,0.45652698281066073,0.0023947190902958
S00275,0000022_1_37_16,0.39613515329720567,0.0
S00277,0000003_10_28_21,0.601112259727882,0.0
S00278,0000003_10_58_21,0.5554664385915414,0.0024270303793883
S00283,0000012_21_38_24,0.4864045922156533,0.0
S00284,0000012_15_62_18,0.5047677991618987,0.0
S00289,0000023_4_30_31,0.4999739679273114,0.0
S00290,0000023_12_31_31,0.4985088804497776,0.0024540301396377
S00294,0000013_13_46_19,0.4979750936332268,0.0
S00296,0000012_10_16_24,0.4980864393523512,0.0
S00297,0000024_4_14_24,0.504430125143202,0.0048750582407611
S00302,0000008_14_50_23,0.5036206959250293,0.0
S00303,0000001_13_52_15,0.4885403753193752,0.0044147169073886
S00308,0000008_9_24_19,0.49232285295533457,0.0
S00309,0000009_1_25_17,0.5160317732439963,0.0021791077496437
S00310,0000009_1_21_19,0.5234037147520914,0.0156605896916497
S00311,0000009_3_34_21,0.45824279945555435,0.0
S00312,0000009_3_33_22,0.4739813815812183,0.0022374990433228
S00313,0000009_14_30_14,0.48505508389765284,0.0
S00314,0000009_24_57_25,0.45029693604981336,0.0021928953719759
S00315,0000008_22_48_15,0.4830207944805713,0.0021781336418657
S00316,0000009_24_24_28,0.44313222140863157,0.0
S00318,0000009_14_23_19,0.4553885242409867,0.0022137295775651
S00319,0000009_24_43_31,0.4814843130058583,0.0021892730027839
S00321,0000025_16_24_21,0.38179510033726405,0.0
S00323,0000023_16_27_22,0.4810526204344372,0.0
