ufs_serial,position,split,health,clf_proba_mean,lds_weight
S00065,1,train,0.0,0.40441600527213484,
S00068,1,train,0.0096413121496052,0.40412659432456727,
S00069,1,train,0.0024141213958187,0.39351706934495945,
S00071,1,train,0.0,0.4972139373522424,
S00072,1,train,0.0,0.4286045520348201,
S00075,1,train,0.0,0.3563395923547414,
S00079,1,train,0.0,0.40356501438665254,
S00080,1,train,0.0024551575598599,0.4607416687687211,
S00081,1,train,0.0048692551117381,0.4318530070172241,
S00084,1,train,0.0,0.4886778465777884,
S00086,1,train,0.0,0.4640691051958137,
S00087,1,train,0.0071833265884257,0.3750312795669042,
S00092,1,train,0.0,0.4240773469509853,
S00096,1,train,0.0,0.46946696064769694,
S00098,1,train,0.0,0.48432019804536014,
S00099,1,train,0.002429023161249,0.35456845749570354,
S00101,1,train,0.0047811447811447,0.41317747895090684,
S00103,1,train,0.0023947190902958,0.42744738538815213,
S00106,1,train,0.0,0.49642046182868543,
S00108,1,train,0.0,0.4877377799788129,
S00109,1,train,0.0024466006035276,0.40483651982090807,
S00111,1,train,0.0,0.47364684031632737,
S00113,1,train,0.0,0.4792393844094194,
S00114,1,train,0.0,0.33453786649191314,
S00116,1,train,0.0,0.4425750097738052,
S00120,1,train,0.0,0.37255808199827056,
S00121,1,train,0.0,0.4992705902645496,
S00122,1,train,0.0,0.4356181766348648,
S00123,1,train,0.0120079634300735,0.38338482682863256,
S00124,1,train,0.0,0.515551478441111,
S00126,1,train,0.0145181549966406,0.3338211961771978,
S00127,1,train,0.0,0.4096543624287325,
S00128,1,train,0.0023878847281078,0.4080698976921229,
S00129,1,train,0.0071621056878935,0.26231984716758633,
S00130,1,train,0.0048756321399316,0.39544649344926586,
S00131,1,train,0.0,0.38251479496993107,
S00132,1,train,0.0,0.4192187625860753,
S00133,1,train,0.0,0.4005383194628709,
S00134,1,train,0.0,0.40302057737110264,
S00135,1,train,0.0024002704530087,0.38528075389741306,
S00136,1,train,0.0024124339857098,0.4225312416547274,
S00137,1,train,0.0,0.4022351482614197,
S00138,1,train,0.0024209654634906,0.35322630363210133,
S00139,1,train,0.0023857183316292,0.3953287404940051,
S00142,1,train,0.0023883666839667,0.446617735150753,
S00144,1,train,0.0,0.406778080585014,
S00145,1,train,0.0048074365336157,0.35648233142569924,
S00146,1,train,0.0,0.44448872154935004,
S00148,1,train,0.0023848940713548,0.39449847336602284,
S00149,1,train,0.0,0.39111117852223093,
S00150,1,train,0.0024284534611569,0.26328009548514614,
S00151,1,train,0.0,0.3580555364186875,
S00152,1,train,0.0,0.18377213901252273,
S00153,1,train,0.0,0.27664060014802866,
S00154,1,train,0.0024048348309115,0.36409402964365617,
S00155,1,train,0.0,0.3407063531917152,
S00156,1,train,0.0,0.24753686045256076,
S00157,1,train,0.0023905723905723,0.311426500413893,
S00158,1,train,0.0,0.3488853205035582,
S00162,1,train,0.0,0.3638794217694383,
S00164,1,train,0.0,0.32310976941873415,
S00165,1,train,0.0,0.3668827529704397,
S00166,1,train,0.0,0.3393647533514355,
S00168,1,train,0.0044468304030778,0.450681471872564,
S00169,1,train,0.002185201306724,0.45830744692625486,
S00170,1,train,0.0,0.43916359028080604,
S00171,1,train,0.002232734493277,0.4447796186908639,
S00174,1,train,0.0,0.42138947025726275,
S00175,1,train,0.0,0.5052483683299892,
S00177,1,train,0.0043713251623854,0.44465110893941046,
S00178,1,train,0.0,0.4293034355072556,
S00180,1,train,0.0,0.3656195059933805,
S00181,1,train,0.0,0.3702418913728323,
S00183,1,train,0.0,0.30415377283121203,
S00185,1,train,0.0,0.4679486100290678,
S00186,1,train,0.0,0.3514533184441937,
S00187,1,train,0.0023849627379564,0.4011624507752714,
S00188,1,train,0.0,0.4015425176647101,
S00189,1,train,0.0,0.3039831356830221,
S00191,1,train,0.0,0.3247457461817107,
S00192,1,train,0.0,0.29414539067531714,
S00193,1,train,0.0,0.3902352222643423,
S00194,1,train,0.0023942345675443,0.248878445891083,
S00199,1,train,0.0,0.3988860699045021,
S00201,1,train,0.0,0.421333998211097,
S00202,1,train,0.0,0.44644207192792223,
S00205,1,train,0.0024191978193146,0.4764855738611041,
S00206,1,train,0.0,0.4036693956907295,
S00207,1,train,0.0024246859373094,0.40706469158540076,
S00208,1,train,0.0,0.44836952189981955,
S00210,1,train,0.0,0.40801475602682036,
S00211,1,train,0.0024002356770644,0.4807219140779789,
S00214,1,train,0.0,0.3502672958109408,
S00216,1,train,0.0,0.3384526544815761,
S00217,1,train,0.0,0.365803632185854,
