ufs_serial,position,split,health,clf_proba
S09422,1,train,0.0,0.8744937627127498
S09486,1,train,0.0,0.2657647466229127
S09507,1,train,0.0,0.5485156191899936
S09521,1,train,0.0,0.36437706398288455
S09566,1,train,0.0,0.2211122932346962
S09567,1,train,0.0,0.4038768128036047
S09569,1,train,0.0,0.511348365661419
S09608,1,train,0.0,0.11312137233843683
S09635,1,train,0.0,0.4618040928370237
S09668,1,train,0.0,0.6473506885241719
S09669,1,train,0.0,0.12806267519226014
S09697,1,train,0.0,0.1356851732732399
S09736,1,train,0.0,0.36177638395321476
S09870,1,train,0.0039045007816857,0.5099134106523721
S09947,1,train,0.0066913316961785,0.695574247444631
S09993,1,train,0.0077240478984217,0.4036513257006305
S10025,1,train,0.0039891802515511,0.5465937667884462
S10030,1,train,0.003916377075404,0.5421474308204791
S10096,1,train,0.0,0.3287607302234147
S10111,1,train,0.003851578604752,0.5147766379047498
S10203,1,train,0.0272056178545175,0.1150518284038117
S10291,1,train,0.0,0.4444604327572578
S10304,1,train,0.0,0.48023811073371286
S10375,1,train,0.0,0.06932151924553587
S10391,1,train,0.0,0.39824497358101363
S10426,1,train,0.0,0.6570264894206783
S10427,1,train,0.0,0.28806824955149557
S10470,1,train,0.0,0.756733406071715
S10490,1,train,0.0,0.7958559219621791
S10495,1,train,0.0,0.8538978286512033
S10500,1,train,0.0,0.6550477754567082
S10509,1,train,0.0,0.3073314934106043
S10539,1,train,0.0,0.18174099970304888
S10541,1,train,0.0,0.5804920924986542
S10633,1,train,0.0,0.7400917643922185
S10718,1,train,0.0,0.030983491689851265
S10723,1,train,0.0,0.5909471283853511
S10742,1,train,0.0,0.04283174512061414
S10778,1,train,0.0,0.32269804991467554
S10792,1,train,0.0305643018793663,0.5867291561753186
S10848,1,train,0.0074152984918745,0.2976505003163294
S10877,1,train,0.0057861173929873,0.18733956227759527
S10879,1,train,0.0,0.4644152190607979
S10882,1,train,0.0,0.04273897819218025
S10902,1,train,0.021417995672075,0.48744866001994824
S10913,1,train,0.0123672218852548,0.5087426331831102
S10956,1,train,0.021171085816856,0.8570827775848423
S10957,1,train,0.0173087052862074,0.15959018922755036
S10977,1,train,0.014310847737763,0.28338585619384477
S10996,1,train,0.0162414509465231,0.7184595914980136
S10997,1,train,0.0116597693383256,0.3075290750344548
S11035,1,train,0.0007580749472245,0.20278748435903107
S11089,1,train,0.0112933861044167,0.3502866581855826
S11169,1,train,0.0089136298105112,0.4910631655901336
S11177,1,train,0.0155664447586966,0.8466433693685468
S11229,1,train,0.0131244970936283,0.704262867399073
S11232,1,train,0.0171500543487637,0.32936941612882165
S11255,1,train,0.0226555992524108,0.5593987598584615
S11262,1,train,0.0154451837458373,0.5498301530824855
S11296,1,train,0.0110604030259533,0.6936262849212742
S11345,1,train,0.0022350438689193,0.8870454038782978
S11357,1,train,0.0128897284166209,0.8597234428697597
S11403,1,train,0.0160312237920134,0.6751814260497626
S11404,1,train,0.0152382003593394,0.7269318395813348
S11461,1,train,0.0,0.633653133884082
S11477,1,train,0.0115638037817942,0.6316416732738196
S11489,1,train,0.0054746158750091,0.7057568971472178
S11500,1,train,0.0218602926853789,0.26113698814859615
S11564,1,train,0.0,0.4140919898094037
S11611,1,train,0.0,0.19761929061286385
S11619,1,train,0.0,0.3349478668638586
S11654,1,train,0.0,0.5081683104752379
S11679,1,train,0.0,0.09651363055922262
S11785,1,train,0.0,0.2959834351901029
S11853,1,train,0.0,0.6538106876705658
S11854,1,train,0.0,0.7112649997584737
S11860,1,train,0.0,0.3842762890269028
S11898,1,train,0.0,0.6499786330941406
