ufs_serial,position,split,health,clf_proba_mean,lds_weight
S14018,1,train,0.0055242477797414,0.4857924304543575,0.7054669351717984
S14064,1,train,0.0040422607380175,0.3022931963939244,0.7238710464511028
S14117,1,train,0.0,0.3433557907080617,1.0
S14173,1,train,0.0,0.2091992245646999,1.0
S14193,1,train,0.0,0.3410152296662474,1.0
S14218,1,train,0.0,0.2561998478042162,1.0
S14221,1,train,0.0,0.2870101758423,1.0
S14244,1,train,0.0,0.1456039403199225,1.0
S14310,1,train,0.0,0.49556669963051175,1.0
S14341,1,train,0.0,0.3830401608378746,1.0
S14397,1,train,0.0,0.3355228048266326,1.0
S14399,1,train,0.0,0.32692547514970677,1.0
S14447,1,train,0.0,0.26062545616262683,1.0
S14468,1,train,0.0,0.4421431384323838,1.0
S14489,1,train,0.0,0.4841785463497727,1.0
S14591,1,train,0.0,0.2834114215382872,1.0
S14592,1,train,0.0,0.4995051718241233,1.0
S14614,1,train,0.0,0.42865874443883434,1.0
S14645,1,train,0.0,0.37623718253919813,1.0
S14672,1,train,0.0,0.22670842583731265,1.0
S14720,1,train,0.0,0.41299070959370515,1.0
S14759,1,train,0.0,0.2724943781447479,1.0
S14806,1,train,0.0,0.398782929653594,1.0
S14809,1,train,0.0,0.4664246714266338,1.0
S14823,1,train,0.0,0.2433854890300454,1.0
S14848,1,train,0.0,0.3889790298107482,1.0
S14858,1,train,0.0,0.31402635198800666,1.0
S14874,1,train,0.0,0.41873826089450583,1.0
S14877,1,train,0.0,0.384715836534611,1.0
S14969,1,train,0.0,0.5125679875097631,1.0
S14979,1,train,0.002042921912701,0.5571735669515824,0.7708499151386475
S15043,1,train,0.0,0.3073025833333293,1.0
S15073,1,train,0.0,0.4924391715886185,1.0
S15090,1,train,0.0,0.4805792423498412,1.0
S15098,1,train,0.0,0.34694447718483623,1.0
S15114,1,train,0.0,0.4569117212218763,1.0
S15120,1,train,0.0,0.4238230271223669,1.0
S15186,1,train,0.0020450655079333,0.5442865014122814,0.7707844160827049
S15193,1,train,0.0,0.3483047548131648,1.0
S15256,1,train,0.0,0.3196025166252743,1.0
S15269,1,train,0.0,0.1729786557588677,1.0
S15357,1,train,0.0,0.26358305894326856,1.0
S15424,1,train,0.0,0.4706927087816288,1.0
S15441,1,train,0.0,0.3839684620189878,1.0
S15501,1,train,0.0,0.44961113251175294,1.0
S15537,1,train,0.0,0.4812612759195356,1.0
S15551,1,train,0.0032990813021082,0.44645624087993263,0.7381724163670756
S15590,1,train,0.0065760312262247,0.15958274281690465,0.700041168916439
S15618,1,train,0.0066681425130981,0.3905456597174192,0.6998563400858452
