feature,lgbm_gain,et_impurity,enet_abs_coef,lgbm_weak,et_weak,enet_zero
X732,0.0,0.0008320879485564934,0.0,False,False,True
X733,0.0,0.0010773720792849615,0.0,False,False,True
X734,0.0,0.00130804207088395,0.0,False,False,True
X735,0.0,0.0011552685891158302,0.0,False,False,True
X738,0.0,0.0015349487542457053,0.0,False,False,True
X739,0.0,0.0005193892958599371,1.8280903921329948e-06,False,True,False
X744,0.0,0.001106323311904135,0.0,False,False,True
X745,0.0,0.0011327367270213952,0.00014067742867522593,False,False,False
X746,0.0,0.0010809389526155425,0.0,False,False,True
X747,0.0,0.0005876733389240949,0.0,False,False,True
X748,0.0,0.0011235740909669749,0.0,False,False,True
X749,0.0,0.0010709242525793444,0.0,False,False,True
X750,0.0,0.0006805075134679749,0.0,False,False,True
X751,0.0,0.001043192282019012,0.0,False,False,True
X752,0.0,0.0009704108941737832,0.0,False,False,True
X753,0.0,0.002805579226309051,0.000377479859464257,False,False,False
X754,0.0,0.002598546632143765,0.0001329023430311095,False,False,False
X755,0.0,0.001526547159502217,0.0,False,False,True
X756,0.0,0.0025238821718627734,1.6246411814749924e-06,False,False,False
X757,0.0,0.0017757763912592322,0.0,False,False,True
X758,0.0,0.0011214719009720066,0.0,False,False,True
X759,0.0,0.0011116866795244163,0.0,False,False,True
X760,0.0,0.0008540264675863456,0.0,False,False,True
X761,0.0,0.0014466338158156912,7.667250427781725e-06,False,False,False
X762,0.0,0.0009229594125780085,0.0,False,False,True
X763,0.0,0.0024824882386730823,0.0,False,False,True
X764,0.0,0.0010637218931333822,0.0,False,False,True
X765,0.0,0.001297310269170954,0.0,False,False,True
X766,0.0,0.0016090638463305941,0.0,False,False,True
X767,0.0,0.0016567707441372138,5.647160065378262e-05,False,False,False
X768,0.0,0.004665181156985278,0.0,False,False,True
X769,0.0,0.002508540912477,0.0,False,False,True
X773,0.0,0.0017772723180296997,0.0,False,False,True
X775,0.0,0.0010616431570248733,0.0,False,False,True
X776,0.0,0.0010260454523392474,0.0,False,False,True
X779,0.0,0.0015787202548934655,0.0,False,False,True
X781,0.0,0.0008761481609550335,5.517039607765154e-05,False,False,False
X782,0.0,0.0009154473757991494,0.0,False,False,True
X783,0.0,0.0010023861180927381,0.0,False,False,True
X784,0.0,0.0024295851974506038,0.0,False,False,True
X785,0.0,0.0020633729127641433,0.0,False,False,True
X788,0.0,0.0018857048904401819,0.0,False,False,True
X789,0.0,0.0017037589439558767,0.0,False,False,True
