ufs_serial,run_wf_xy,position,pi,one_minus_pi,mu,pred,pred_clipped,health
S00278,0000003_10_58_21,1,0.12593083329946442,0.8740691667005356,0.00092570852614817,0.0008091332800579118,0.0008091332800579118,0.0024270303793883
S00283,0000012_21_38_24,1,0.31892732457695905,0.681072675423041,0.001026636973373984,0.0006992143901440326,0.0006992143901440326,0.0
S00284,0000012_15_62_18,1,0.5433845482500315,0.45661545174996854,0.0008953875482982665,0.00040884778985750974,0.00040884778985750974,0.0
S00289,0000023_4_30_31,1,0.24263002974358983,0.7573699702564102,0.0022670719049510102,0.0017170121812218897,0.0017170121812218897,0.0
S00290,0000023_12_31_31,1,0.2874031142206597,0.7125968857793403,0.0008461232410408673,0.0006029447865512442,0.0006029447865512442,0.0024540301396377
S00294,0000013_13_46_19,1,0.2098115425607156,0.7901884574392843,0.0008924418878900501,0.0007051972787460414,0.0007051972787460414,0.0
S00296,0000012_10_16_24,1,0.17692966235238883,0.8230703376476112,0.000965063962165649,0.0007943155211912221,0.0007943155211912221,0.0
S00297,0000024_4_14_24,1,0.11487060428239589,0.8851293957176041,0.0009426432436268325,0.0008343612446087005,0.0008343612446087005,0.0048750582407611
S00302,0000008_14_50_23,1,0.21622481011078204,0.783775189889218,0.0008021344443722754,0.0006286930764545626,0.0006286930764545626,0.0
S00303,0000001_13_52_15,1,0.29186966395376385,0.7081303360462361,0.0008919708147584799,0.0006316315927983574,0.0006316315927983574,0.0044147169073886
S00308,0000008_9_24_19,1,0.3581412230919289,0.641858776908071,0.0008989289787083135,0.0005769854548009395,0.0005769854548009395,0.0
S00309,0000009_1_25_17,1,0.38063852558127703,0.619361474418723,0.0007897932993560621,0.0004891675423751985,0.0004891675423751985,0.0021791077496437
S00310,0000009_1_21_19,1,0.37138357062733995,0.62861642937266,0.0009028862349867455,0.0005675691211670925,0.0005675691211670925,0.0156605896916497
S00311,0000009_3_34_21,1,0.3458473415433667,0.6541526584566333,0.0008111131936834531,0.0005305918519572809,0.0005305918519572809,0.0
S00312,0000009_3_33_22,1,0.5051817492676043,0.4948182507323957,0.0008520577440582543,0.0004216137224378967,0.0004216137224378967,0.0022374990433228
S00313,0000009_14_30_14,1,0.4974316764389001,0.5025683235610998,0.0008378818550278219,0.00042109287922359695,0.00042109287922359695,0.0
S00314,0000009_24_57_25,1,0.36582593739916136,0.6341740626008386,0.000777219781545369,0.0004928926263963629,0.0004928926263963629,0.0021928953719759
S00315,0000008_22_48_15,1,0.24415790021396105,0.7558420997860389,0.0008541208855675533,0.0006455805236184906,0.0006455805236184906,0.0021781336418657
S00316,0000009_24_24_28,1,0.399063599421235,0.600936400578765,0.0009926895870523015,0.0005965433073352306,0.0005965433073352306,0.0
S00318,0000009_14_23_19,1,0.3691699984821863,0.6308300015178137,0.0008379236866161459,0.0005285874004998753,0.0005285874004998753,0.0022137295775651
