ufs_serial,run_wf_xy,prob,health
S00577,0000014_23_35_26,0.0007365568699606745,0.0
S00579,0000013_22_23_28,0.005571646199559922,0.0
S00580,0000023_4_21_29,0.24576588554453774,0.0022136704169895
S00581,0000023_15_49_31,0.05264365700929945,0.0
S00582,0000023_5_21_14,0.14713938922635605,0.0022362909068002
S00583,0000010_21_47_22,0.11458752239345803,0.0
S00584,0000010_4_28_16,0.00022706924880901196,0.0
S00585,0000010_3_44_29,0.0348032944408731,0.0
S00586,0000010_4_38_15,0.022135595529563352,0.0
S00587,0000010_5_37_16,0.0007134767340825016,0.0
S00588,0000010_4_17_20,0.05328821006188301,0.0
S00589,0000010_4_19_25,0.01931130093958117,0.0
S00590,0000010_11_19_17,0.148737409006898,0.0
S00593,0000010_10_32_24,0.011102662394664942,0.0
S00594,0000010_3_55_17,0.0014733180523706212,0.0
S00598,0000026_3_60_28,0.008438166176581937,0.0
S00599,0000001_19_18_15,0.01356941207729043,0.0
S00600,0000008_22_53_30,0.05452838372410414,0.0
S00603,0000019_9_24_30,0.014936179071972146,0.0
S00605,0000005_22_50_21,0.5370991249572953,0.0
S00606,0000004_7_44_23,0.2139257292224083,0.0
S00607,0000003_16_20_17,0.4137225862492041,0.0
S00612,0000004_25_18_26,0.2686721747307162,0.0
S00614,0000004_9_18_19,0.037498161536643496,0.0
S00616,0000004_5_25_29,0.5951151629426162,0.0
S00617,0000024_8_26_20,0.5522295144516359,0.0
S00618,0000024_11_30_19,0.832011599886325,0.0
S00619,0000024_15_55_24,0.0445512705550432,0.0
