die_x,die_y,count,pred_mean,pred_max,pred_std,risk_count,risk_rate,ppm_mean,ppm_max,radial_dist
28,23,565,0.00060882,0.00090829,0.00025915,61,10.8,608.8,908.3,11.102
28,24,741,0.00063085,0.00091193,0.00023107,121,16.33,630.8,911.9,11.281
28,25,544,0.00064145,0.00092327,0.0002331,111,20.4,641.4,923.3,11.543
28,26,740,0.00068664,0.00091199,0.00020489,103,13.92,686.6,912.0,11.885
28,27,614,0.00064134,0.00090505,0.00021586,117,19.06,641.3,905.0,12.298
28,28,637,0.00062117,0.00089622,0.0002088,45,7.06,621.2,896.2,12.777
28,29,566,0.00060923,0.00089287,0.00024553,36,6.36,609.2,892.9,13.314
28,30,708,0.00062063,0.0008962,0.00021454,60,8.47,620.6,896.2,13.901
28,31,528,0.00061964,0.00093874,0.00018629,35,6.63,619.6,938.7,14.534
29,12,473,0.00060452,0.00090508,0.00020096,18,3.81,604.5,905.1,13.793
29,13,545,0.00057684,0.0008962,0.00024234,19,3.49,576.8,896.2,13.124
29,14,602,0.00068246,0.00089913,0.00021124,102,16.94,682.5,899.1,12.5
29,15,425,0.00060973,0.00089461,0.00025241,68,16.0,609.7,894.6,11.927
29,16,658,0.00062575,0.00090223,0.00023626,43,6.53,625.8,902.2,11.413
29,17,636,0.00058341,0.00091094,0.00026416,70,11.01,583.4,910.9,10.966
29,18,602,0.00060115,0.00092283,0.00025929,96,15.95,601.2,922.8,10.595
29,19,561,0.00065284,0.00090413,0.00024417,163,29.06,652.8,904.1,10.308
29,20,702,0.00064405,0.00092797,0.00025063,171,24.36,644.0,928.0,10.112
29,21,558,0.00070429,0.00090766,0.00018936,115,20.61,704.3,907.7,10.012
29,22,648,0.00056614,0.0009101,0.00026757,110,16.98,566.1,910.1,10.012
29,23,520,0.00064641,0.00090691,0.00020575,46,8.85,646.4,906.9,10.112
29,24,632,0.00058791,0.00091263,0.0002328,58,9.18,587.9,912.6,10.308
29,25,663,0.00065526,0.00091256,0.0002217,74,11.16,655.3,912.6,10.595
29,26,702,0.0006666,0.00090464,0.00023067,133,18.95,666.6,904.6,10.966
29,27,651,0.00064768,0.00090921,0.00021149,63,9.68,647.7,909.2,11.413
29,28,769,0.00060443,0.00089825,0.00020596,35,4.55,604.4,898.2,11.927
29,29,610,0.00064642,0.00088927,0.00021334,21,3.44,646.4,889.3,12.5
29,30,583,0.00056904,0.00089799,0.0002264,42,7.2,569.0,898.0,13.124
29,31,483,0.00064742,0.00088407,0.00019302,36,7.45,647.4,884.1,13.793
30,12,545,0.00062333,0.00091124,0.00017257,16,2.94,623.3,911.2,13.086
30,13,483,0.0006219,0.00089493,0.00022301,48,9.94,621.9,894.9,12.379
30,14,590,0.00061555,0.00089948,0.00025154,73,12.37,615.6,899.5,11.715
30,15,505,0.0006009,0.00089193,0.00025542,76,15.05,600.9,891.9,11.102
30,16,690,0.00066501,0.00090991,0.00019725,61,8.84,665.0,909.9,10.548
30,17,571,0.00057961,0.00089772,0.00026536,88,15.41,579.6,897.7,10.062
30,18,672,0.00063849,0.00091703,0.00023062,150,22.32,638.5,917.0,9.657
30,19,596,0.00063306,0.00090457,0.00023735,84,14.09,633.1,904.6,9.341
30,20,516,0.00065052,0.0009037,0.0002373,129,25.0,650.5,903.7,9.124
30,21,709,0.00065039,0.00090613,0.00022831,104,14.67,650.4,906.1,9.014
30,22,713,0.00063367,0.00090342,0.00024105,125,17.53,633.7,903.4,9.014
30,23,541,0.00061739,0.00090785,0.00025984,87,16.08,617.4,907.8,9.124
30,24,743,0.00065146,0.00091642,0.00021061,84,11.31,651.5,916.4,9.341
30,25,567,0.0006567,0.00090334,0.00023233,122,21.52,656.7,903.3,9.657
30,26,706,0.00066383,0.00090926,0.00021728,108,15.3,663.8,909.3,10.062
30,27,646,0.00065519,0.00093816,0.0002328,139,21.52,655.2,938.2,10.548
30,28,657,0.00058462,0.00089686,0.00022476,56,8.52,584.6,896.9,11.102
30,29,621,0.00059662,0.00089459,0.00024004,40,6.44,596.6,894.6,11.715
30,30,701,0.00061215,0.00089225,0.00021663,40,5.71,612.2,892.2,12.379
30,31,585,0.00063437,0.00092919,0.00019117,68,11.62,634.4,929.2,13.086
31,11,16,0.00051296,0.00076071,9.943e-05,0,0.0,513.0,760.7,13.2
31,12,564,0.00062896,0.00094124,0.00019378,13,2.3,629.0,941.2,12.42
31,13,615,0.00062686,0.00089768,0.00021256,38,6.18,626.9,897.7,11.673
31,14,565,0.00064155,0.00089619,0.00022639,88,15.58,641.6,896.2,10.966
31,15,457,0.00058999,0.00089859,0.00028057,69,15.1,590.0,898.6,10.308
31,16,654,0.00061528,0.00091962,0.00025059,84,12.84,615.3,919.6,9.708
31,17,652,0.00060515,0.00089748,0.0002546,88,13.5,605.2,897.5,9.179
31,18,544,0.00060725,0.00091296,0.00024338,95,17.46,607.2,913.0,8.732
31,19,591,0.0006476,0.00090741,0.00024906,149,25.21,647.6,907.4,8.382
31,20,578,0.00067108,0.0009179,0.00023104,127,21.97,671.1,917.9,8.139
31,21,534,0.00068139,0.00092561,0.00019668,90,16.85,681.4,925.6,8.016
31,22,750,0.00055912,0.000928,0.00027988,136,18.13,559.1,928.0,8.016
31,23,588,0.00062622,0.00090983,0.00022752,44,7.48,626.2,909.8,8.139
31,24,581,0.00064207,0.00091235,0.00020667,65,11.19,642.1,912.4,8.382
31,25,515,0.00063859,0.00091835,0.00024479,95,18.45,638.6,918.4,8.732
31,26,601,0.00063911,0.00089791,0.00024481,109,18.14,639.1,897.9,9.179
31,27,720,0.00064629,0.00091452,0.00023124,104,14.44,646.3,914.5,9.708
31,28,702,0.00061272,0.00089092,0.00021655,21,2.99,612.7,890.9,10.308
31,29,764,0.0006513,0.00088103,0.00020207,52,6.81,651.3,881.0,10.966
31,30,660,0.00058646,0.00089885,0.00024441,42,6.36,586.5,898.8,11.673
31,31,594,0.00062496,0.00089192,0.0002038,35,5.89,625.0,891.9,12.42
31,32,38,0.00035685,0.00082967,0.00014811,0,0.0,356.8,829.7,13.2
32,11,38,0.00068393,0.00087615,0.00019983,9,23.68,683.9,876.2,12.619
32,12,609,0.00064238,0.00088555,0.00019236,27,4.43,642.4,885.6,11.8
32,13,662,0.00065277,0.00089686,0.00020404,75,11.33,652.8,896.9,11.011
32,14,613,0.00064115,0.00090107,0.00023132,55,8.97,641.2,901.1,10.259
32,15,514,0.00062103,0.0008947,0.00025332,80,15.56,621.0,894.7,9.552
32,16,737,0.00067232,0.00091427,0.00018665,72,9.77,672.3,914.3,8.902
32,17,536,0.00060882,0.00089963,0.00024483,77,14.37,608.8,899.6,8.322
32,18,673,0.00065181,0.00091359,0.00020767,90,13.37,651.8,913.6,7.826
32,19,584,0.00062712,0.00091161,0.00024489,112,19.18,627.1,911.6,7.433
32,20,531,0.00066053,0.00090317,0.00021786,119,22.41,660.5,903.2,7.159
32,21,621,0.00066068,0.00091012,0.00020596,73,11.76,660.7,910.1,7.018
32,22,557,0.00064726,0.00092135,0.00024118,96,17.24,647.3,921.4,7.018
32,23,415,0.00062563,0.00092124,0.00026423,49,11.81,625.6,921.2,7.159
32,24,708,0.00066074,0.00091319,0.00021011,100,14.12,660.7,913.2,7.433
32,25,632,0.00064116,0.00089893,0.0002381,90,14.24,641.2,898.9,7.826
32,26,724,0.00060003,0.00089841,0.00026868,124,17.13,600.0,898.4,8.322
32,27,614,0.00063965,0.00089799,0.0002446,108,17.59,639.6,898.0,8.902
32,28,702,0.00063617,0.00090529,0.00020555,44,6.27,636.2,905.3,9.552
32,29,764,0.0006265,0.00090593,0.00022188,69,9.03,626.5,905.9,10.259
32,30,569,0.00058318,0.00088697,0.00024093,37,6.5,583.2,887.0,11.011
32,31,665,0.00062719,0.00089402,0.00022348,40,6.02,627.2,894.0,11.8
