ufs_serial,run_wf_xy,position,pi,one_minus_pi,mu,pred,pred_clipped,health
S00192,0000021_8_42_14,1,0.5927069691028958,0.4072930308971042,0.0017919371470009014,0.0007298435117791069,0.0007298435117791069,0.0
S00193,0000021_9_17_24,1,0.6291586486222712,0.3708413513777288,0.0017129319296511514,0.0006352259916098936,0.0006352259916098936,0.0
S00194,0000021_8_47_20,1,0.7784760817085551,0.2215239182914449,0.001616366902593609,0.0003580639296591425,0.0003580639296591425,0.0023942345675443
S00199,0000008_6_28_27,1,0.6072530987915453,0.3927469012084547,0.0016300557376713839,0.0006401993397674977,0.0006401993397674977,0.0
S00201,0000008_6_35_28,1,0.5363246044491,0.4636753955509,0.0017126316348272828,0.0007941051507115249,0.0007941051507115249,0.0
S00202,0000008_6_40_24,1,0.4660219178860591,0.5339780821139408,0.0017303886315423026,0.0009239896027827254,0.0009239896027827254,0.0
S00205,0000008_24_19_24,1,0.4719165436231394,0.5280834563768606,0.0017067702856764235,0.0009013171517013275,0.0009013171517013275,0.0024191978193146
S00206,0000016_3_14_20,1,0.6144050764176644,0.3855949235823356,0.0016791326676412193,0.0006474650326637192,0.0006474650326637192,0.0
S00207,0000016_3_47_21,1,0.5720466286796619,0.42795337132033806,0.0016438460460225057,0.0007034894573269389,0.0007034894573269389,0.0024246859373094
S00208,0000008_12_60_17,1,0.529144163396933,0.47085583660306696,0.001809278273235982,0.0008519092349922806,0.0008519092349922806,0.0
S00210,0000008_12_51_18,1,0.5846483630323415,0.41535163696765853,0.001681550783655073,0.0006984348706353836,0.0006984348706353836,0.0
S00211,0000016_15_26_16,1,0.4738770293923338,0.5261229706076662,0.0017173292324608289,0.0009035263572936747,0.0009035263572936747,0.0024002356770644
S00214,0000002_16_54_27,1,0.7107226626988008,0.2892773373011992,0.0013528745865981754,0.0003913559581135808,0.0003913559581135808,0.0
S00216,0000002_14_39_30,1,0.6466771739754033,0.35332282602459675,0.0016183828278958786,0.0005718115943418505,0.0005718115943418505,0.0
S00217,0000002_22_35_18,1,0.672850100681871,0.327149899318129,0.0016941954236295057,0.0005542558622656277,0.0005542558622656277,0.0
S00218,0000004_22_56_15,1,0.5269295900164924,0.4730704099835076,0.0016004574865962275,0.0007571290793452514,0.0007571290793452514,0.0
S00220,0000004_10_33_26,1,0.45214382221256577,0.5478561777874342,0.001783804310930152,0.000977268211706941,0.000977268211706941,0.0048111362800333
S00221,0000006_23_50_17,1,0.3927305085304113,0.6072694914695886,0.0018192765611377694,0.0011047911521246752,0.0011047911521246752,0.0024405814181889
S00223,0000004_4_32_29,1,0.644931258331328,0.35506874166867197,0.0017271939979795088,0.000613272599480267,0.000613272599480267,0.0
S00226,0000004_4_37_16,1,0.4526771808279946,0.5473228191720054,0.0016812709892894298,0.0009201979776499973,0.0009201979776499973,0.0
S00227,0000009_6_47_25,1,0.7356543730843145,0.2643456269156855,0.0015756686097879887,0.00041652110646577255,0.00041652110646577255,0.0
S00229,0000003_10_41_20,1,0.6095873781250608,0.3904126218749392,0.001660033701051757,0.0006480981096283754,0.0006480981096283754,0.0
S00233,0000011_23_16_18,1,0.7573188593244952,0.24268114067550484,0.0016803309588679734,0.00040778463381044457,0.00040778463381044457,0.0
S00237,0000011_19_38_25,1,0.6470344229284267,0.3529655770715733,0.0016082268498667511,0.0005676487181252162,0.0005676487181252162,0.0
S00238,0000016_25_37_23,1,0.7710683171392584,0.22893168286074161,0.0016596335838373827,0.00037994270928009573,0.00037994270928009573,0.0
